date,customer_id,product,price,quantity,coupon_code,shipping_city
2024-01-01,CUST8595,Mouse,1426.9,5,SAVE10,Calgary
2024-01-02,CUST6983,Tablet,1773.07,3,FREESHIP,Vancouver
2024-01-02,CUST3953,Phone,1383.29,2,,Calgary
2024-01-03,CUST4770,Laptop,1642.07,2,,Ottawa
2024-01-04,CUST3513,Tablet,1733.49,5,,Toronto
2024-01-04,CUST6303,Headphones,1046.03,2,WELCOME,Halifax
2024-01-04,CUST9951,Monitor,1187.53,5,FREESHIP,Calgary
2024-01-05,CUST7588,Laptop,935.19,4,WELCOME,Edmonton
2024-01-06,CUST1577,Keyboard,1229.54,4,FREESHIP,Calgary
2024-01-06,CUST8839,Laptop,1620.13,2,,Toronto
2024-01-06,CUST4096,Headphones,1289.85,5,,Vancouver
2024-01-07,CUST2927,Phone,455.86,5,,Vancouver
2024-01-09,CUST5744,Monitor,969.53,3,,Toronto
2024-01-10,CUST5358,Phone,457.34,1,WELCOME,Montreal
2024-01-10,CUST8532,Monitor,339.39,3,,Vancouver
2024-01-10,CUST2994,Headphones,1983.8,4,,Calgary
2024-01-12,CUST9239,Tablet,1864.4,1,SAVE10,Halifax
2024-01-12,CUST7463,Tablet,666.88,5,SAVE10,Edmonton
2024-01-13,CUST3687,Keyboard,150.69,4,FREESHIP,Montreal
2024-01-13,CUST2381,Laptop,1429.2,4,FREESHIP,Vancouver
2024-01-13,CUST7124,Laptop,1414.46,3,,Winnipeg
2024-01-14,CUST9824,Tablet,1821.01,4,,Toronto
2024-01-15,CUST3196,Headphones,749.51,3,WELCOME,Winnipeg
2024-01-16,CUST6446,Laptop,1271.62,4,WELCOME,Vancouver
2024-01-16,CUST2239,Laptop,1907.41,1,WELCOME,Toronto
2024-01-16,CUST5273,Tablet,1940.11,3,,Toronto
2024-01-17,CUST9911,Headphones,457.67,3,,Halifax
2024-01-20,CUST8684,Headphones,1891.97,3,WELCOME,Toronto
2024-01-20,CUST2469,Monitor,726.29,2,,Montreal
2024-01-21,CUST6150,Keyboard,360.42,4,SAVE10,Winnipeg
2024-01-21,CUST5601,Keyboard,1177.83,2,FREESHIP,Montreal
2024-01-21,CUST6655,Tablet,216.65,3,WELCOME,Toronto
2024-01-22,CUST9063,Laptop,1558.81,1,,Calgary
2024-01-22,CUST1641,Tablet,669.93,2,WELCOME,Edmonton
2024-01-22,CUST8871,Laptop,975.59,2,,Calgary
2024-01-23,CUST8229,Phone,805.65,5,,Calgary
2024-01-23,CUST4245,Phone,1511.24,5,WELCOME,Vancouver
2024-01-23,CUST7931,Laptop,1772.17,2,,Toronto
2024-01-24,CUST8962,Keyboard,939.83,5,,Ottawa
2024-01-24,CUST6703,Tablet,401.25,1,FREESHIP,Calgary
2024-01-27,CUST4079,Mouse,1986.61,1,,Halifax
2024-01-28,CUST4625,Headphones,90.04,2,,Vancouver
2024-01-28,CUST7835,Tablet,1267.94,2,SAVE10,Halifax
2024-01-29,CUST7848,Monitor,296.71,4,,Vancouver
2024-01-29,CUST1366,Mouse,1409.41,4,WELCOME,Vancouver
2024-01-30,CUST3865,Tablet,1088.1,3,,Winnipeg
2024-01-30,CUST7234,Tablet,195.22,3,WELCOME,Edmonton
2024-01-31,CUST6437,Monitor,1898.42,4,,Vancouver
2024-02-01,CUST1467,Phone,51.14,4,SAVE10,Ottawa
2024-02-02,CUST1230,Tablet,840.7,1,FREESHIP,Winnipeg
2024-02-03,CUST9419,Mouse,1601.32,1,FREESHIP,Vancouver
2024-02-03,CUST5748,Tablet,1116.01,3,WELCOME,Winnipeg
2024-02-04,CUST4845,Headphones,1457.42,2,,Winnipeg
2024-02-04,CUST4595,Tablet,1576.82,3,FREESHIP,Vancouver
2024-02-04,CUST2684,Tablet,1261.85,5,SAVE10,Ottawa
2024-02-04,CUST4445,Laptop,1660.64,1,,Edmonton
2024-02-05,CUST3391,Mouse,334.06,2,,Calgary
2024-02-05,CUST4443,Headphones,347.03,5,SAVE10,Edmonton
2024-02-06,CUST7588,Headphones,1113.64,1,,Halifax
2024-02-06,CUST4001,Monitor,1561.08,4,,Winnipeg
2024-02-06,CUST9433,Tablet,967.69,1,,Edmonton
2024-02-06,CUST2603,Keyboard,509.7,3,FREESHIP,Halifax
2024-02-06,CUST9958,Keyboard,1245.69,1,FREESHIP,Montreal
2024-02-07,CUST8977,Keyboard,180.32,3,SAVE10,Vancouver
2024-02-07,CUST9839,Keyboard,1489.94,3,FREESHIP,Ottawa
2024-02-07,CUST8329,Mouse,1288.0,4,,Ottawa
2024-02-08,CUST2842,Monitor,275.67,1,,Montreal
2024-02-08,CUST9783,Mouse,1718.34,1,,Edmonton
2024-02-09,CUST5382,Headphones,1364.35,1,,Edmonton
2024-02-09,CUST5097,Headphones,104.22,5,WELCOME,Edmonton
2024-02-10,CUST1910,Tablet,472.45,4,,Vancouver
2024-02-10,CUST3679,Phone,1565.48,4,,Toronto
2024-02-10,CUST2228,Phone,1577.87,5,WELCOME,Winnipeg
2024-02-10,CUST3328,Mouse,1654.77,3,,Winnipeg
2024-02-12,CUST7697,Monitor,267.38,2,FREESHIP,Calgary
2024-02-12,CUST1878,Headphones,1519.63,5,FREESHIP,Halifax
2024-02-12,CUST6485,Laptop,1733.62,3,,Winnipeg
2024-02-12,CUST7130,Headphones,979.88,2,WELCOME,Halifax
2024-02-13,CUST8659,Monitor,1097.2,5,,Vancouver
2024-02-13,CUST3688,Mouse,1775.38,1,,Winnipeg
2024-02-15,CUST2339,Tablet,1994.08,5,SAVE10,Montreal
2024-02-16,CUST7027,Monitor,883.35,4,SAVE10,Edmonton
2024-02-16,CUST8991,Laptop,1177.59,3,,Edmonton
2024-02-16,CUST3358,Mouse,214.72,4,,Ottawa
2024-02-18,CUST7150,Mouse,1017.46,5,FREESHIP,Vancouver
2024-02-19,CUST1461,Keyboard,1307.02,3,,Calgary
